instancia,resultado_ideal,guloso,desvio_guloso,tempo_guloso,randomizado_alfa_0.03,desvio_randomizado_alfa_0.03,tempo_randomizado_alfa_0.03,randomizado_alfa_0.04,desvio_randomizado_alfa_0.04,tempo_randomizado_alfa_0.04,randomizado_alfa_0.05,desvio_randomizado_alfa_0.05,tempo_randomizado_alfa_0.05,reativo,desvio_reativo,tempo_reativo
TC4001.DAT,597.00,913.00,52.93,0.000087,717.30,20.15,0.007866,746.20,24.99,0.008049,744.50,24.71,0.008167,716.20,19.97,0.159707
TC40010.DAT,600.00,859.00,43.17,0.000096,793.50,32.25,0.008131,799.20,33.20,0.008197,811.30,35.22,0.008491,778.70,29.78,0.166856
TC4002.DAT,588.00,933.00,58.67,0.000096,848.60,44.32,0.007995,811.20,37.96,0.008056,825.70,40.43,0.008052,792.50,34.78,0.158964
TC4003.DAT,608.00,816.00,34.21,0.000110,731.60,20.33,0.011292,757.40,24.57,0.011085,764.80,25.79,0.010992,693.90,14.13,0.219925
TC4004.DAT,639.00,796.00,24.57,0.000101,754.40,18.06,0.009540,759.40,18.84,0.010287,768.50,20.27,0.010680,736.00,15.18,0.200757
TC4005.DAT,615.00,898.00,46.02,0.000083,913.00,48.46,0.007590,906.60,47.41,0.007742,922.40,49.98,0.007932,888.80,44.52,0.153342
TC4006.DAT,590.00,847.00,43.56,0.000103,726.30,23.10,0.009385,751.30,27.34,0.009615,748.30,26.83,0.009749,702.90,19.14,0.188725
TC4007.DAT,609.00,799.00,31.20,0.000092,737.20,21.05,0.008855,766.10,25.80,0.009332,757.50,24.38,0.009482,703.40,15.50,0.181711
TC4008.DAT,554.00,885.00,59.75,0.000084,811.10,46.41,0.007989,807.10,45.69,0.008341,821.10,48.21,0.008369,784.70,41.64,0.161463
TC4009.DAT,611.00,777.00,27.17,0.000129,704.90,15.37,0.012447,703.70,15.17,0.013190,714.30,16.91,0.013451,676.30,10.69,0.256149
TE4001.DAT,639.00,738.00,15.49,0.000125,638.20,-0.13,0.012448,654.20,2.38,0.012171,660.80,3.41,0.011849,613.10,-4.05,0.237372
TE40010.DAT,782.00,813.00,3.96,0.000094,767.90,-1.80,0.008924,773.60,-1.07,0.009252,786.60,0.59,0.009249,739.60,-5.42,0.181386
TE4002.DAT,607.00,886.00,45.96,0.000098,732.00,20.59,0.008844,743.60,22.50,0.009109,755.80,24.51,0.009065,716.60,18.06,0.180013
TE4003.DAT,587.00,894.00,52.30,0.000089,780.00,32.88,0.007779,762.40,29.88,0.007930,767.70,30.78,0.008050,728.60,24.12,0.158156
TE4004.DAT,600.00,1016.00,69.33,0.000087,934.60,55.77,0.007602,920.20,53.37,0.007883,946.30,57.72,0.008027,894.20,49.03,0.155600
TE4005.DAT,593.00,821.00,38.45,0.000102,690.20,16.39,0.008734,688.90,16.17,0.008768,688.40,16.09,0.008990,663.40,11.87,0.175144
TE4006.DAT,824.00,1080.00,31.07,0.000087,932.10,13.12,0.007831,929.10,12.75,0.007868,923.20,12.04,0.008048,889.10,7.90,0.155843
TE4007.DAT,827.00,872.00,5.44,0.000087,754.50,-8.77,0.008012,757.80,-8.37,0.008459,765.90,-7.39,0.009354,737.10,-10.87,0.169436
TE4008.DAT,833.00,896.00,7.56,0.000086,774.80,-6.99,0.008583,788.20,-5.38,0.009108,799.80,-3.99,0.009341,761.40,-8.60,0.177683
TE4009.DAT,781.00,1021.00,30.73,0.000087,924.40,18.36,0.007741,928.20,18.85,0.008201,933.10,19.48,0.008033,900.50,15.30,0.156845
tc120-1.dat,,1175.00,,0.002146,1293.60,,0.218257,1369.90,,0.219133,1439.20,,0.220276,1265.00,,4.350558
tc160-1.dat,,1714.00,,0.003787,1913.80,,0.383772,2052.30,,0.388633,2176.80,,0.391788,1872.30,,7.737385
tc80-1.dat,,1227.00,,0.000608,1157.30,,0.064173,1209.80,,0.065952,1244.40,,0.068908,1134.60,,1.332555
tc80-2.dat,,1506.00,,0.000589,1339.40,,0.060163,1402.00,,0.060909,1439.20,,0.062571,1319.40,,1.219100
tc80-3.dat,,1269.00,,0.000588,1216.60,,0.065251,1247.80,,0.070039,1289.50,,0.072508,1186.80,,1.385549
tc80-4.dat,,1219.00,,0.000657,1206.40,,0.068786,1257.80,,0.073294,1296.40,,0.075430,1184.70,,1.437534
tc80-5.dat,,1646.00,,0.000689,1460.20,,0.068025,1526.80,,0.069260,1556.50,,0.070330,1425.00,,1.380107
te120-1.dat,,1383.00,,0.001732,1415.40,,0.196276,1512.30,,0.201566,1565.70,,0.205725,1383.60,,4.004714
te160-1.dat,,1837.00,,0.003782,2026.00,,0.381124,2184.40,,0.383215,2288.90,,0.386927,1972.50,,7.638653
te80-1.dat,,1866.00,,0.000677,1895.10,,0.067862,2002.80,,0.070541,2048.20,,0.072510,1854.70,,1.399578
te80-2.dat,,1987.00,,0.000613,1864.60,,0.060537,1939.20,,0.062202,2025.20,,0.064175,1801.40,,1.239916
te80-3.dat,,1793.00,,0.000626,1813.20,,0.071026,1916.90,,0.074125,1968.30,,0.075930,1783.70,,1.474998
te80-4.dat,,1725.00,,0.000750,1611.80,,0.083095,1685.90,,0.088490,1742.20,,0.089104,1564.60,,1.726871
te80-5.dat,,1909.00,,0.000645,1936.90,,0.062755,2022.90,,0.062931,2098.50,,0.064011,1887.40,,1.267446
