data_hora,instancia,n_vertices,capacidade,algoritmo,alpha,iteracoes,tamanho_bloco,semente,tempo_segundos,melhor_solucao,media_solucoes,melhor_alpha,solucao_otima
2026-01-17 16:11:32,TC40010.DAT,40,3,guloso,,,,42,0.003307,859.00,,,600.00
2026-01-17 16:12:04,TC40010.DAT,40,3,randomizado,0.00,300,,42,0.943069,859.00,859.00,,600.00
2026-01-17 16:12:20,TC40010.DAT,40,3,randomizado,0.10,300,,42,0.982758,877.00,1002.50,,600.00
2026-01-17 16:12:38,TC40010.DAT,40,3,randomizado,0.05,300,,42,0.969442,795.00,917.32,,600.00
2026-01-17 16:12:58,TC40010.DAT,40,3,randomizado,0.00,300,,42,0.947899,859.00,859.00,,600.00
2026-01-17 16:13:05,TC40010.DAT,40,3,randomizado,0.01,300,,42,0.977020,859.00,859.00,,600.00
2026-01-17 16:13:13,TC40010.DAT,40,3,randomizado,0.02,300,,42,0.986582,798.00,850.23,,600.00
2026-01-17 16:13:28,TC40010.DAT,40,3,randomizado,0.05,1000,,42,3.238205,783.00,919.82,,600.00
2026-01-17 16:15:24,TC40010.DAT,40,3,randomizado,0.03,2000,,42,6.353269,788.00,887.12,,600.00
2026-01-17 16:15:41,TC40010.DAT,40,3,randomizado,0.05,2000,,42,6.476570,783.00,921.33,,600.00
2026-01-17 16:15:53,TC40010.DAT,40,3,randomizado,0.05,2000,,90,6.417559,785.00,925.02,,600.00
2026-01-17 16:17:03,TC40010.DAT,40,3,reativo,,500,30,90,1.580841,794.00,984.51,0.03,600.00
2026-01-17 16:17:40,TC40010.DAT,40,3,reativo,,500,50,90,1.578643,794.00,989.78,0.03,600.00
2026-01-17 16:18:04,TC40010.DAT,40,3,reativo,,600,50,90,1.889794,794.00,983.53,0.03,600.00
2026-01-17 16:18:15,TC40010.DAT,40,3,reativo,,600,50,42,1.914617,788.00,1003.47,0.03,600.00
2026-01-17 16:18:38,TC40010.DAT,40,3,reativo,,600,50,42,1.904234,786.00,883.99,0.05,600.00
2026-01-17 16:26:36,TC40010.DAT,40,3,reativo,,600,50,42,1.921374,786.00,883.99,0.05,600.00
2026-01-17 16:27:17,TC40010.DAT,40,3,reativo,,600,50,42,1.910107,786.00,883.99,0.05,600.00
2026-01-17 16:30:55,TC40010.DAT,40,3,reativo,,600,50,42,1.840361,786.00,883.99,0.05,600.00
2026-01-17 16:33:20,TC40010.DAT,40,3,reativo,,600,50,42,1.840002,786.00,883.99,0.05,600.00
2026-01-17 16:34:29,TC40010.DAT,40,3,reativo,,600,50,42,1.952215,786.00,883.91,0.05,600.00
2026-01-17 16:37:53,TC40010.DAT,40,3,reativo,,600,50,42,1.824532,786.00,883.91,0.05,600.00
2026-01-17 16:38:18,TC40010.DAT,40,3,reativo,,600,50,42,1.916889,786.00,883.91,0.05,600.00
2026-01-17 16:38:26,TC40010.DAT,40,3,reativo,,600,50,42,1.827624,786.00,883.91,0.05,600.00
